"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.908986990E-1,1.989033818E-1,4.097708687E-2,9.923933029E0,9.926010701E0
2.934411990E-1,1.220339537E-1,1.465603895E-2,9.828220367E0,9.828988894E0
2.959836990E-1,2.108674943E-1,5.054837838E-2,9.742077827E0,9.744490784E0
2.985261990E-1,1.818545163E-1,6.011966988E-2,9.739685059E0,9.741568174E0
3.010686990E-1,1.603191197E-1,5.772684515E-2,9.794720650E0,9.796202694E0
3.036111990E-1,2.419741899E-1,6.251249462E-2,9.900004387E0,9.903158394E0
3.061536990E-1,1.893320978E-1,1.704886183E-2,9.792327881E0,9.794172892E0
3.086961990E-1,1.794617027E-1,4.336991161E-2,9.768399239E0,9.770143865E0
3.112386990E-1,2.300100774E-1,1.031904742E-1,9.825826645E0,9.829060086E0
3.137811990E-1,1.603191197E-1,7.926224917E-2,9.943075180E0,9.944683442E0
3.163236990E-1,1.483550072E-1,3.379862010E-2,9.931111336E0,9.932276875E0
3.188661990E-1,1.579262912E-1,5.533402413E-2,9.825826645E0,9.827251489E0
3.214086990E-1,1.244267747E-1,5.533402413E-2,9.823433876E0,9.824377690E0
3.239511990E-1,1.483550072E-1,4.336991161E-2,9.914361954E0,9.915566706E0
3.264936990E-1,1.674975902E-1,7.926224917E-2,9.978967667E0,9.980688034E0
3.290361990E-1,1.411765367E-1,1.055833027E-1,9.928718567E0,9.930283532E0
3.315786990E-1,1.507478207E-1,3.858426586E-2,9.837791443E0,9.839022011E0
3.341211990E-1,1.941177398E-1,7.447660714E-2,9.821041107E0,9.823241669E0
3.366636990E-1,1.698904037E-1,1.199402362E-1,9.849755287E0,9.851950448E0
3.392061990E-1,1.746760458E-1,1.103689447E-1,9.919147491E0,9.921299309E0
3.417486990E-1,1.435693651E-1,6.729813665E-2,9.950253487E0,9.951516751E0
3.442911990E-1,1.603191197E-1,6.251249462E-2,9.892826080E0,9.894322508E0
3.468336990E-1,9.332008660E-2,8.883354068E-2,9.751649857E0,9.752500959E0
3.493761990E-1,1.244267747E-1,5.772684515E-2,9.679864883E0,9.680836667E0
3.519186990E-1,1.722832322E-1,9.361918271E-2,9.885647774E0,9.887592122E0
3.544611990E-1,1.746760458E-1,1.079761237E-1,1.007976532E1,1.008185695E1
3.570036990E-1,8.135596663E-2,8.404789865E-2,9.888040543E0,9.888732407E0
3.595461990E-1,7.657032460E-2,4.815555736E-2,9.627223015E0,9.627647945E0
3.620886990E-1,1.196411327E-1,8.404789865E-2,9.718150139E0,9.719249980E0
3.646311990E-1,1.387837082E-1,1.199402362E-1,9.852148056E0,9.853855484E0
3.671736990E-1,1.028913707E-1,9.361918271E-2,9.871291161E0,9.872271287E0
3.697161990E-1,8.374879509E-2,4.097708687E-2,9.849755287E0,9.850196556E0
3.722586990E-1,1.387837082E-1,9.361918271E-2,9.859326363E0,9.860747527E0
3.748011990E-1,1.100698411E-1,1.127617657E-1,9.763613701E0,9.764885206E0
3.773436990E-1,4.785645381E-2,8.883354068E-2,9.725328445E0,9.725851891E0
3.798861990E-1,1.339980662E-1,1.127617657E-1,9.847362518E0,9.848919700E0
3.824286990E-1,1.603191197E-1,1.079761237E-1,9.880862236E0,9.882752632E0
3.849711990E-1,1.100698411E-1,6.490531564E-2,9.799506187E0,9.800339259E0
3.875136990E-1,1.411765367E-1,1.079761237E-1,9.825826645E0,9.827433994E0
3.900561990E-1,1.579262912E-1,9.361918271E-2,9.878469467E0,9.880175316E0
