"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.751112420E-1,4.307080805E-2,8.315058798E-2,9.823433876E0,9.823880202E0
2.776160330E-1,5.742774159E-2,1.070788130E-1,9.797113419E0,9.797866868E0
2.801207730E-1,1.914258115E-2,1.070788130E-1,9.797113419E0,9.797717267E0
2.826255130E-1,1.674975827E-2,9.990034252E-2,9.777970314E0,9.778494981E0
2.851303040E-1,7.178467698E-3,9.990034252E-2,9.758828163E0,9.759342126E0
2.876350440E-1,2.871387079E-2,1.142572835E-1,9.782755852E0,9.783465197E0
2.901397830E-1,-1.914258115E-2,1.190429255E-1,9.847362518E0,9.848100640E0
2.926562420E-1,5.742774159E-2,1.166501045E-1,9.876076698E0,9.876932527E0
2.951612420E-1,1.196411345E-2,6.400800496E-2,9.849755287E0,9.849970527E0
2.976662940E-1,5.982056633E-2,1.046859920E-1,9.864111900E0,9.864848769E0
3.001713460E-1,2.632104978E-2,1.214357466E-1,9.900004387E0,9.900784125E0
3.026763980E-1,-7.178467698E-3,8.315058798E-2,9.878469467E0,9.878822023E0
3.051814500E-1,-3.110669367E-2,1.190429255E-1,9.825826645E0,9.826596975E0
3.076865020E-1,3.589234129E-2,1.118644550E-1,9.840184212E0,9.840885491E0
3.101915540E-1,-1.674975827E-2,1.190429255E-1,9.816255569E0,9.816991656E0
3.127254600E-1,1.435693540E-2,8.554340899E-2,9.782755852E0,9.783140388E0
3.152311900E-1,-7.178467698E-3,9.990034252E-2,9.840184212E0,9.840693925E0
3.177369710E-1,2.153540403E-2,7.836493850E-2,9.821041107E0,9.821377361E0
3.202427520E-1,-1.674975827E-2,1.022931710E-1,9.804291725E0,9.804839656E0
3.227485330E-1,-7.178467698E-3,8.075776696E-2,9.837791443E0,9.838125524E0
3.252543150E-1,-4.067798331E-2,1.238285750E-1,9.840184212E0,9.841047380E0
3.277600960E-1,3.589234129E-2,7.836493850E-2,9.837791443E0,9.838169027E0
3.302658770E-1,4.067798331E-2,9.032905847E-2,9.840184212E0,9.840682871E0
3.327400960E-1,7.178468257E-2,6.161518395E-2,9.840184212E0,9.840638942E0
3.352449920E-1,4.067798331E-2,5.682953820E-2,9.895218849E0,9.895465647E0
3.377499920E-1,6.221338734E-2,7.597211748E-2,9.859326363E0,9.859815343E0
3.402549920E-1,4.067798331E-2,7.836493850E-2,9.854540825E0,9.854936359E0
3.427599400E-1,4.307080805E-2,4.486542568E-2,9.806684494E0,9.806881705E0
3.452649400E-1,3.828516230E-2,6.640082598E-2,9.828220367E0,9.828519238E0
3.477699400E-1,4.785645381E-2,5.204389244E-2,9.811470032E0,9.811724771E0
3.502748880E-1,2.392822690E-2,9.272187948E-2,9.775577545E0,9.776046555E0
3.528057730E-1,3.110669367E-2,8.315058798E-2,9.806684494E0,9.807086337E0
3.553113980E-1,2.392822690E-2,9.750752151E-2,9.789935112E0,9.790449927E0
3.578170230E-1,4.546362907E-2,9.750752151E-2,9.816255569E0,9.816845118E0
3.603226480E-1,3.589234129E-2,1.190429255E-1,9.835398674E0,9.836184553E0
3.628282730E-1,6.939185411E-2,7.118647546E-2,9.854540825E0,9.855042243E0
3.653339500E-1,5.982056633E-2,6.400800496E-2,9.835398674E0,9.835788865E0
3.678395750E-1,8.374879509E-2,1.022931710E-1,9.833005905E0,9.833894594E0
3.703452000E-1,5.982056633E-2,8.554340899E-2,9.847362518E0,9.847915756E0
3.728207210E-1,8.374879509E-2,9.032905847E-2,9.856933594E0,9.857703235E0
3.753255130E-1,3.828516230E-2,7.597211748E-2,9.888040543E0,9.888406509E0
3.778304080E-1,6.221338734E-2,6.879365444E-2,9.825826645E0,9.826264414E0
3.803352520E-1,3.589234129E-2,6.400800496E-2,9.852148056E0,9.852421357E0
3.828401480E-1,3.589234129E-2,7.836493850E-2,9.852148056E0,9.852525090E0
3.853450440E-1,7.178467698E-3,9.272187948E-2,9.844969749E0,9.845408993E0
3.878498880E-1,3.349951655E-2,4.725824669E-2,9.782755852E0,9.782927354E0
3.903547830E-1,1.196411345E-2,8.793623000E-2,9.809077263E0,9.809478715E0
3.928704080E-1,5.503492057E-2,4.486542568E-2,9.816255569E0,9.816512372E0
3.953755130E-1,6.939185411E-2,4.486542568E-2,9.770792007E0,9.771141417E0
3.978806690E-1,2.632104978E-2,2.811566554E-2,9.785149574E0,9.785225367E0
4.003858250E-1,7.178468257E-2,7.357929647E-2,9.821041107E0,9.821579068E0
4.028909290E-1,9.092725813E-2,6.161518395E-2,9.799506187E0,9.800121719E0
4.053960850E-1,8.853443712E-2,6.400800496E-2,9.789935112E0,9.790544667E0
4.079012420E-1,6.939185411E-2,3.290131316E-2,9.813862801E0,9.814163275E0
4.104063980E-1,6.939185411E-2,7.836493850E-2,9.821041107E0,9.821598888E0
4.129266580E-1,5.024927482E-2,8.315058798E-2,9.813862801E0,9.814343691E0
4.154321790E-1,3.349951655E-2,8.075776696E-2,9.844969749E0,9.845357962E0
4.179377000E-1,2.632104978E-2,9.272187948E-2,9.775577545E0,9.776052705E0
4.204432210E-1,2.153540403E-2,9.750752151E-2,9.785149574E0,9.785659083E0
4.229487420E-1,1.196411345E-2,9.272187948E-2,9.785149574E0,9.785596184E0
4.254542630E-1,1.196411345E-2,1.381855011E-1,9.718150139E0,9.719139905E0
4.279597830E-1,7.178467698E-3,1.046859920E-1,9.742077827E0,9.742642921E0
4.304653040E-1,4.546362907E-2,1.118644550E-1,9.766006470E0,9.766752939E0
4.329762940E-1,1.196411345E-2,9.272187948E-2,9.751649857E0,9.752098001E0
4.354818670E-1,1.914258115E-2,9.990034252E-2,9.780363083E0,9.780892012E0
4.379875440E-1,2.871387079E-2,9.750752151E-2,9.809077263E0,9.809603914E0
4.404932210E-1,6.460621208E-2,9.750752151E-2,9.818648338E0,9.819345033E0
4.429988980E-1,5.024927482E-2,6.879365444E-2,9.847362518E0,9.847731014E0
4.455045230E-1,4.785645381E-2,5.204389244E-2,9.787542343E0,9.787797706E0
4.480102000E-1,4.307080805E-2,1.118644550E-1,9.761220932E0,9.761956916E0
4.505158770E-1,3.110669367E-2,9.272187948E-2,9.754042625E0,9.754532921E0
4.530290020E-1,5.982056633E-2,8.793623000E-2,9.763613701E0,9.764192941E0
4.555347830E-1,6.939185411E-2,6.640082598E-2,9.739685059E0,9.740158589E0
