"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.732904960E-1,-1.029506698E-1,-2.561795712E-1,9.754277229E0,9.758183800E0
2.752902960E-1,-1.005564705E-1,-2.609679997E-1,9.749488831E0,9.753499288E0
2.772900960E-1,-8.858546615E-2,-2.513911724E-1,9.749488831E0,9.753131670E0
2.792898960E-1,-9.337386489E-2,-2.537853718E-1,9.761459351E0,9.765204265E0
2.812896960E-1,-9.576806426E-2,-2.633621991E-1,9.768642426E0,9.772661153E0
2.832903960E-1,-1.125274822E-1,-2.705447972E-1,9.783007622E0,9.787394702E0
2.852896620E-1,-1.125274822E-1,-2.705447972E-1,9.783007622E0,9.787394702E0
2.872893950E-1,-1.053448766E-1,-2.705447972E-1,9.780612946E0,9.784921135E0
2.892891280E-1,-1.053448766E-1,-2.729389966E-1,9.778219223E0,9.782594973E0
2.912888610E-1,-1.053448766E-1,-2.777273953E-1,9.768642426E0,9.773157365E0
2.932890270E-1,-1.005564705E-1,-2.585737705E-1,9.756670952E0,9.760614738E0
2.952887600E-1,-1.029506698E-1,-2.609679997E-1,9.754277229E0,9.758310684E0
2.972885600E-1,-1.077390760E-1,-2.705447972E-1,9.763854027E0,9.768195721E0
2.992882930E-1,-1.077390760E-1,-2.705447972E-1,9.761459351E0,9.765802110E0
3.012880260E-1,-1.029506698E-1,-2.561795712E-1,9.761459351E0,9.765363048E0
3.032877590E-1,-1.125274822E-1,-2.442085743E-1,9.756670952E0,9.760375419E0
3.052874920E-1,-1.125274822E-1,-2.442085743E-1,9.756670952E0,9.760375419E0
3.072872250E-1,-1.077390760E-1,-2.513911724E-1,9.763854027E0,9.767683998E0
3.092869580E-1,-7.900865376E-2,-2.657563984E-1,9.761459351E0,9.765395920E0
3.112866910E-1,-7.900865376E-2,-2.657563984E-1,9.759065628E0,9.763003163E0
3.132864910E-1,-7.422025502E-2,-2.537853718E-1,9.756670952E0,9.760253261E0
3.152862240E-1,-7.182604820E-2,-2.585737705E-1,9.754277229E0,9.757968213E0
3.172881900E-1,-8.140286058E-2,-2.753331959E-1,9.749488831E0,9.753715561E0
3.192879230E-1,-1.053448766E-1,-2.753331959E-1,9.751882553E0,9.756337389E0
3.212876560E-1,-1.029506698E-1,-2.801215947E-1,9.763854027E0,9.768414017E0
3.232873890E-1,-8.619125932E-2,-2.513911724E-1,9.775824547E0,9.779436181E0
3.252875220E-1,-8.619125932E-2,-2.561795712E-1,9.766247749E0,9.769987308E0
3.272872550E-1,-9.576806426E-2,-2.633621991E-1,9.759065628E0,9.763088297E0
3.292870550E-1,-1.053448766E-1,-2.633621991E-1,9.763854027E0,9.767973313E0
3.312867880E-1,-1.101332754E-1,-2.442085743E-1,9.766247749E0,9.769921303E0
3.332865210E-1,-1.149216816E-1,-2.489969730E-1,9.751882553E0,9.755737789E0
3.352862540E-1,-1.101332754E-1,-2.561795712E-1,9.754277229E0,9.758262221E0
3.372859870E-1,-9.576806426E-2,-2.585737705E-1,9.766247749E0,9.770139560E0
3.392857200E-1,-1.005564705E-1,-2.489969730E-1,9.759065628E0,9.762759499E0
3.412854530E-1,-1.077390760E-1,-2.394201756E-1,9.747094154E0,9.750629425E0
3.432842860E-1,-1.029506698E-1,-2.513911724E-1,9.751882553E0,9.755665518E0
3.452840860E-1,-1.029506698E-1,-2.513911724E-1,9.751882553E0,9.755665518E0
3.472838190E-1,-9.816227108E-2,-2.489969730E-1,9.751882553E0,9.755554759E0
3.492831520E-1,-1.005564705E-1,-2.657563984E-1,9.761459351E0,9.765594028E0
3.512828850E-1,-1.005564705E-1,-2.537853718E-1,9.763854027E0,9.767669327E0
3.532826180E-1,-9.337386489E-2,-2.466027737E-1,9.761459351E0,9.765020239E0
3.552823510E-1,-9.337386489E-2,-2.466027737E-1,9.763854027E0,9.767414042E0
3.572820840E-1,-9.576806426E-2,-2.561795712E-1,9.766247749E0,9.770076489E0
3.592818840E-1,-9.337386489E-2,-2.657563984E-1,9.747094154E0,9.751163500E0
3.612816840E-1,-8.858546615E-2,-2.705447972E-1,9.756670952E0,9.760823220E0
3.632814170E-1,-1.053448766E-1,-2.609679997E-1,9.756670952E0,9.760728964E0
3.652812170E-1,-1.053448766E-1,-2.633621991E-1,9.756670952E0,9.760793270E0
3.672809500E-1,-1.125274822E-1,-2.561795712E-1,9.756670952E0,9.760682275E0
3.692806830E-1,-1.077390760E-1,-2.561795712E-1,9.761459351E0,9.765414704E0
3.712804160E-1,-1.173158810E-1,-2.537853718E-1,9.759065628E0,9.763069802E0
3.732801490E-1,-1.101332754E-1,-2.681505978E-1,9.759065628E0,9.763370116E0
3.752799490E-1,-1.125274822E-1,-2.729389966E-1,9.763854027E0,9.768316313E0
3.772774490E-1,-1.005564705E-1,-2.633621991E-1,9.761459351E0,9.765529167E0
3.792771820E-1,-1.005564705E-1,-2.609679997E-1,9.763854027E0,9.767858586E0
3.812769150E-1,-1.005564705E-1,-2.513911724E-1,9.771036148E0,9.774786777E0
3.832766480E-1,-9.337386489E-2,-2.633621991E-1,9.771036148E0,9.775030728E0
