"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.671069350E-1	4.937412217E-3	-1.846216619E-3	2.251148224E-2	2.312041063E-2
5.718269870E-1	4.918631166E-3	2.919171005E-3	-1.402854919E-3	5.889184479E-3
5.765469870E-1	-2.184823155E-3	-4.241812974E-3	-3.762245178E-3	6.076258578E-3
5.812670400E-1	-2.166416496E-3	-4.224751145E-3	8.129119873E-3	9.414057179E-3
5.859870400E-1	4.966178909E-3	-8.951015770E-3	-8.543968201E-3	1.333352950E-2
5.907070400E-1	1.675107516E-2	-1.722194254E-3	-6.096839905E-3	1.790910185E-2
5.954270920E-1	2.609018981E-2	3.071345389E-3	-1.315879822E-2	2.938171434E-2
6.001470920E-1	1.634601690E-2	1.019545272E-2	2.253627777E-2	2.964832778E-2
6.048670920E-1	9.115204215E-3	1.251452044E-2	5.736351013E-3	1.651078110E-2
6.095871440E-1	1.149213500E-2	7.641565055E-3	-6.174087524E-3	1.511892986E-2
6.143071440E-1	1.903131604E-3	-1.139683276E-2	-1.561164856E-2	1.942249412E-2
6.190271960E-1	9.031975642E-3	2.970002592E-3	-1.785278320E-2	2.022669937E-2
6.237471960E-1	9.011374786E-3	-6.567437202E-3	-1.770401001E-2	2.092290796E-2
6.284671960E-1	1.133585535E-2	2.196868509E-2	-2.230167389E-2	3.329398443E-2
6.331872480E-1	1.361299492E-2	-1.617370173E-2	1.613616943E-3	2.120155698E-2
6.379072480E-1	-7.829541340E-3	1.006967947E-2	1.109123230E-2	1.690312386E-2
6.426272480E-1	8.872574195E-3	1.948410273E-2	-3.238677979E-3	2.165275657E-2
6.473473000E-1	-1.962144673E-2	5.119130015E-3	-1.270294189E-2	2.392846415E-2
6.520673000E-1	-1.708633080E-2	2.878412604E-2	1.350498199E-2	3.609505715E-2
6.567873520E-1	-3.070756793E-4	4.851073027E-5	-3.643798828E-2	3.643931447E-2
6.615073520E-1	-9.769512340E-3	1.669297740E-2	-2.189731598E-2	2.921628506E-2
6.662273520E-1	-7.260715589E-3	9.441934526E-3	-7.477760315E-3	1.406360614E-2
6.709474040E-1	4.690738395E-3	4.652176052E-3	-2.669334412E-3	7.125385247E-3
6.756674040E-1	-1.430456527E-2	9.366065264E-3	2.108192444E-2	2.714389994E-2
6.803874560E-1	-2.836799622E-2	-1.206112280E-2	-9.940147400E-3	3.238858476E-2
6.851074560E-1	-2.003196627E-3	4.628397524E-3	-1.223087311E-2	1.322985704E-2
6.898274560E-1	-1.859796047E-2	2.195779234E-3	-1.450157166E-2	2.368546307E-2
6.945475080E-1	-1.135341823E-2	-2.626224607E-2	-1.675319672E-2	3.315532046E-2
6.992675080E-1	-1.606163010E-2	-9.426321834E-3	7.114410400E-3	1.993605628E-2
7.039875080E-1	-8.838221431E-3	-1.880443469E-2	2.603912354E-2	3.331301362E-2
7.087075600E-1	3.126692027E-3	-2.575948834E-2	1.395797729E-2	2.946442894E-2
7.134275600E-1	-3.991477191E-3	-1.610252261E-2	1.858711243E-2	2.491392930E-2
7.181475600E-1	5.560008809E-3	6.486438215E-4	3.029727936E-2	3.081005637E-2
7.228676120E-1	1.494813710E-2	5.395896733E-3	3.241634369E-2	3.610238001E-2
7.275876120E-1	3.137667850E-2	-6.534557790E-3	1.316356659E-2	3.464788427E-2
7.323076120E-1	1.453172043E-2	-3.734873980E-2	3.678226471E-2	5.439700599E-2
7.370276650E-1	9.663583711E-3	-3.943154961E-2	4.596710205E-2	6.132867539E-2
7.417476650E-1	2.621977404E-2	-1.539538801E-2	9.991645813E-3	3.200511691E-2
7.464677170E-1	1.888135076E-2	1.081344485E-2	2.651786804E-2	3.430208917E-2
7.511877170E-1	1.160423458E-2	-2.254607715E-2	1.917839050E-2	3.179299478E-2
7.559077170E-1	1.619622111E-2	6.151266396E-3	5.223941803E-2	5.503737324E-2
7.606277690E-1	4.167741165E-3	-1.524903998E-2	6.604099274E-2	6.790667131E-2
7.653477690E-1	2.314276993E-2	-9.058453143E-4	2.989768982E-2	3.781904563E-2
7.700678210E-1	2.534965239E-2	-5.637161434E-3	2.964878082E-2	3.941361021E-2
7.747878210E-1	1.436285675E-3	-7.956262678E-3	4.838562012E-2	4.905642941E-2
7.795078210E-1	1.328745112E-2	-1.025603339E-2	3.374481201E-2	3.768892299E-2
7.842278730E-1	3.711899742E-3	6.418440491E-3	2.634620667E-2	2.736963982E-2
7.889478730E-1	-3.410974517E-3	1.349040866E-2	2.138042450E-2	2.550977116E-2
7.936678730E-1	-8.129743859E-3	-3.225460649E-3	1.171112061E-2	1.461665753E-2
7.983879250E-1	-9.447783232E-4	-5.536757410E-3	9.241104126E-3	1.081417099E-2
8.031079250E-1	2.753625438E-2	2.770847082E-2	9.163856506E-3	4.012456762E-2
8.078279250E-1	3.548700362E-3	8.473332971E-3	1.620578766E-2	1.862842451E-2
8.125479770E-1	-1.228069887E-3	8.381459862E-3	2.556324005E-2	2.693021105E-2
