"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.257984420E-1,2.802745998E-2,5.141893625E-1,1.013459110E1,1.014766540E1
3.283096400E-1,3.281841427E-2,5.285622478E-1,1.013459110E1,1.014841820E1
3.308207850E-1,2.802745998E-2,5.692853928E-1,1.009865856E1,1.011473065E1
3.333319830E-1,-3.113761544E-3,5.381441116E-1,1.010584450E1,1.012016313E1
3.358431810E-1,-5.509242415E-3,5.573079586E-1,1.016333675E1,1.017860680E1
3.383550560E-1,5.198224634E-2,5.405396223E-1,1.010344982E1,1.011803259E1
3.408662540E-1,-1.509115100E-2,5.405396223E-1,1.013459110E1,1.014900722E1
3.433774520E-1,-1.030018926E-2,5.309576988E-1,1.017052269E1,1.018437794E1
3.458885980E-1,1.125910878E-2,5.022119284E-1,1.009626293E1,1.010875209E1
3.483997960E-1,-3.185950220E-2,5.549125075E-1,1.010344982E1,1.011872725E1
3.509109940E-1,1.125910878E-2,5.261667371E-1,1.011542702E1,1.012910865E1
3.534221400E-1,8.863642812E-3,5.261667371E-1,1.010344982E1,1.011714526E1
3.559333370E-1,4.719129205E-2,5.285622478E-1,1.004595757E1,1.005996364E1
3.584445350E-1,6.875059754E-2,5.309576988E-1,1.002439880E1,1.003868588E1
3.609556810E-1,9.749633819E-2,5.381441116E-1,1.000284004E1,1.001777987E1
3.634668790E-1,7.593703270E-2,5.022119284E-1,9.969303131E0,9.982233626E0
3.659780770E-1,1.094737351E-1,4.950255156E-1,9.959720612E0,9.972615977E0
3.684895350E-1,9.989181161E-2,5.070029497E-1,9.907019615E0,9.920487287E0
3.710007330E-1,1.334285140E-1,5.381441116E-1,9.938161850E0,9.953615585E0
3.735119310E-1,1.262420863E-1,5.093984008E-1,9.909416199E0,9.923303542E0
3.760230770E-1,1.166601628E-1,5.261667371E-1,9.827969551E0,9.842735724E0
3.785342750E-1,1.430104375E-1,4.878390431E-1,9.839946747E0,9.853070125E0
3.810454730E-1,1.597787738E-1,4.806526303E-1,9.875879288E0,9.888859788E0
3.835566190E-1,1.621742547E-1,4.878390431E-1,9.825573921E0,9.839013685E0
3.860678170E-1,1.741516590E-1,4.758616686E-1,9.823179245E0,9.836240319E0
3.885790150E-1,1.501968652E-1,4.710707664E-1,9.837552071E0,9.849969417E0
3.910901600E-1,1.621742547E-1,5.046074390E-1,9.832760811E0,9.847035814E0
3.936013580E-1,1.597787738E-1,5.429351330E-1,9.825573921E0,9.841860124E0
3.961125560E-1,1.070782542E-1,4.686752558E-1,9.820782661E0,9.832542618E0
3.986420870E-1,1.549878269E-1,4.902345538E-1,9.933370590E0,9.946667906E0
4.011532850E-1,1.909199953E-1,5.093984008E-1,9.895043373E0,9.909985900E0
4.036644830E-1,1.501968652E-1,4.830481410E-1,9.868693352E0,9.881649815E0
4.061756290E-1,1.478013843E-1,5.261667371E-1,9.930974960E0,9.946002229E0
4.086868270E-1,1.382194757E-1,5.070029497E-1,9.902229309E0,9.916163669E0
4.111980250E-1,1.430104375E-1,5.046074390E-1,9.952533722E0,9.966343770E0
4.137091710E-1,1.190556437E-1,5.046074390E-1,9.945347786E0,9.958852620E0
4.162203690E-1,1.094737351E-1,5.022119284E-1,9.940556526E0,9.953836716E0
4.187315670E-1,9.270538390E-2,5.357487202E-1,9.964511871E0,9.979334538E0
4.212427120E-1,9.030990303E-2,5.285622478E-1,1.000044346E1,1.001480920E1
4.237539100E-1,5.437772721E-2,5.501214862E-1,1.004116726E1,1.005637263E1
4.262651080E-1,5.198224634E-2,5.237712860E-1,1.008907700E1,1.010279729E1
4.287588060E-1,6.635511667E-2,4.686752558E-1,1.006033134E1,1.007146098E1
4.312700040E-1,1.022872925E-1,4.926300645E-1,1.003158474E1,1.004419432E1
4.337812020E-1,8.312346786E-2,4.998164773E-1,1.009865856E1,1.011136147E1
