"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.869248400E-1,-8.256530762E-2,-2.761840820E-3,9.818893433E0,9.819240953E0
5.919297230E-1,-1.005249023E-1,-8.743286133E-3,9.792556763E0,9.793076618E0
5.968735710E-1,-8.137512207E-2,-3.987121582E-2,9.815307617E0,9.815725915E0
6.018479360E-1,-9.333801270E-2,-9.933471680E-3,9.829666138E0,9.830114294E0
6.068223010E-1,-8.256530762E-2,-3.028869629E-2,9.806930542E0,9.807324869E0
6.117966660E-1,-8.854675293E-2,-2.310180664E-2,9.818893433E0,9.819319857E0
6.168015490E-1,-9.214782715E-2,-2.310180664E-2,9.799743652E0,9.800204108E0
6.217759140E-1,-9.573364258E-2,-1.113891602E-2,9.847625732E0,9.848097358E0
6.267502800E-1,-8.854675293E-2,-1.232910156E-2,9.832061768E0,9.832468212E0
6.317246450E-1,-9.693908691E-2,-1.113891602E-2,9.848815918E0,9.849299277E0
6.366990100E-1,-8.854675293E-2,-2.310180664E-2,9.820098877E0,9.820525249E0
6.416733750E-1,-1.017150879E-1,4.425048828E-3,9.809310913E0,9.809839251E0
6.466782580E-1,-7.418823242E-2,-1.472473145E-2,9.818893433E0,9.819184740E0
6.516526230E-1,-6.221008301E-2,-5.157470703E-3,9.797348022E0,9.797546885E0
6.566269890E-1,-8.975219727E-2,1.640319824E-2,9.812911987E0,9.813336140E0
6.616318710E-1,-1.077117920E-1,-8.743286133E-3,9.832061768E0,9.832655637E0
6.666062370E-1,-1.005249023E-1,-1.353454590E-2,9.836853027E0,9.837375967E0
6.715806020E-1,-1.077117920E-1,-1.353454590E-2,9.833267212E0,9.833866436E0
6.765549670E-1,-1.148834229E-1,-1.593017578E-2,9.817703247E0,9.818388311E0
6.815293320E-1,-6.700134277E-2,-1.472473145E-2,9.817703247E0,9.817942913E0
6.865036970E-1,-8.377075195E-2,-9.933471680E-3,9.836853027E0,9.837214733E0
6.915085800E-1,-9.931945801E-2,5.630493164E-3,9.800933838E0,9.801438678E0
6.964829460E-1,-9.214782715E-2,-1.712036133E-2,9.809310913E0,9.809758658E0
7.014573110E-1,-8.975219727E-2,-8.743286133E-3,9.815307617E0,9.815721854E0
7.064621940E-1,-9.214782715E-2,-3.028869629E-2,9.836853027E0,9.837331249E0
7.114365590E-1,-1.112976074E-1,-2.191162109E-2,9.828475952E0,9.829130522E0
7.164109240E-1,-1.017150879E-1,8.010864258E-3,9.810516357E0,9.811046903E0
7.213852890E-1,-9.931945801E-2,-2.070617676E-2,9.826080322E0,9.826604073E0
7.263901720E-1,-8.496093750E-2,-3.387451172E-2,9.798538208E0,9.798965091E0
7.313645370E-1,-9.454345703E-2,-9.933471680E-3,9.811706543E0,9.812167061E0
7.363389030E-1,-6.700134277E-2,-2.670288086E-2,9.824874878E0,9.825139622E0
7.413132680E-1,-8.496093750E-2,3.234863281E-3,9.817703247E0,9.818071393E0
7.462876330E-1,-9.454345703E-2,-7.537841797E-3,9.820098877E0,9.820556870E0
7.512925160E-1,-1.077117920E-1,-2.430725098E-2,9.786575317E0,9.787198226E0
7.562668810E-1,-1.112976074E-1,-3.662109375E-4,9.809310913E0,9.809942298E0
7.612412460E-1,-1.029205322E-1,-3.662109375E-4,9.827270508E0,9.827809441E0
7.662156120E-1,-8.016967773E-2,-2.191162109E-2,9.852416992E0,9.852767524E0
7.711899770E-1,-1.041107178E-1,-3.627014160E-2,9.827270508E0,9.827888898E0
7.761643420E-1,-6.939697266E-2,-3.268432617E-2,9.808120728E0,9.808420689E0
7.811387070E-1,-1.005249023E-1,-3.028869629E-2,9.816497803E0,9.817059222E0
7.861435900E-1,-5.981445312E-2,8.392333984E-4,9.802139282E0,9.802321816E0
7.911179550E-1,-9.214782715E-2,-2.549743652E-2,9.804534912E0,9.805001080E0
7.961228380E-1,-1.017150879E-1,2.029418945E-3,9.805725098E0,9.806252840E0
8.010972030E-1,-1.017150879E-1,-1.113891602E-2,9.798538208E0,9.799072459E0
8.060715690E-1,-6.820678711E-2,-2.310180664E-2,9.827270508E0,9.827534355E0
8.110459340E-1,-9.693908691E-2,-9.933471680E-3,9.839248657E0,9.839731195E0
8.160202990E-1,-9.573364258E-2,6.820678711E-3,9.793762207E0,9.794232467E0
8.209946640E-1,-8.735656738E-2,-1.232910156E-2,9.808120728E0,9.808517492E0
8.259690300E-1,-8.137512207E-2,-3.149414062E-2,9.803329468E0,9.803717787E0
8.309739120E-1,-1.005249023E-1,3.234863281E-3,9.806930542E0,9.807446272E0
8.359482780E-1,-7.897949219E-2,-1.472473145E-2,9.784179688E0,9.784509530E0
8.409226430E-1,-9.333801270E-2,-1.232910156E-2,9.784179688E0,9.784632653E0
8.459275260E-1,-1.041107178E-1,-6.347656250E-3,9.820098877E0,9.820652793E0
8.509018910E-1,-1.089019775E-1,2.029418945E-3,9.822479248E0,9.823083138E0
8.558762560E-1,-1.053161621E-1,5.630493164E-3,9.818893433E0,9.819459834E0
8.608506210E-1,-1.101074219E-1,-1.113891602E-2,9.827270508E0,9.827893638E0
8.658555040E-1,-1.053161621E-1,-3.866577148E-2,9.810516357E0,9.811157818E0
8.708298690E-1,-8.016967773E-2,-3.952026367E-3,9.826080322E0,9.826408158E0
